#,Original,Import Test,Reading,Tone,Definition,Radical,Stroke count,HSK Char level,TGL,TGL #,Frequency rank,Note,System ID,Length,Radical Order,General Standard #
602,笔,笔,bǐ,3,writing brush; write; stroke,竹 118.4,10,2,G3,602,956,-,306,2,1834,1951
603,直,直,zhí,2,"straight, erect, vertical",目 109.3,8,3,G2,258,255,-,406,3,1716,1011
604,惯,惯,guàn,4,"habit, custom; habitually, usual",心 61.8,11,3,G4,909,1226,-,565,4,946,2450
605,蛋,蛋,dàn,4,eggs; term of abuse,虫 142.5,11,2,G4,929,1387,-,336,3,2132,2477
606,没,没,méi,2,"not, have not, none; drown, sink",水 85.4,7,1,G1,70,72,-,43,3,1415,867
607,婚,婚,hūn,1,"get married; marriage, wedding",女 38.8,11,3,G5,1084,942,-,534,3,653,2481
608,慢,慢,màn,4,"slow(ly), leisurely, sluggish",心 61.11,14,2,G3,574,822,-,296,3,964,3169
609,岁,岁,suì,4,year; age; harvest,山 46.3,6,1,G3,560,772,-,149,3,755,436
610,回,回,huí,2,"return, turn around; a time",囗 31.3,6,1,G1,140,172,-,74,3,523,438
611,刚,刚,gāng,1,"hard, tough, rigid, strong",刀 18.4,6,3,G3,528,621,-,488,4,269,441
612,网,网,wǎng,3,net; network; KangXi radical 122,网 122.0,6,3,G6,1395,605,-,483,4,1941,442
613,再,再,zài,4,"again, twice, re-",冂 13.4,6,1,G1,163,242,-,91,3,231,382
614,协,协,xié,2,be united; cooperate,十 24.4,6,6,G6,1400,735,-,1699,3,335,383
615,西,西,xī,2,"west(ern); westward, occident",襾 146.0,6,1,G1,136,167,-,71,2,2171,384
